x,y,sensor_value,acc_weight,acc_weight_reading,confidence,acc_variance,variance
50.0,1000.0,0.23,3.151053771326588e-06,1.916143260980109e-07,0.1799937216098536,2.961626061058759e-11,0.11
50.0,1050.0,0.23,3.583159901671502e-06,2.2089367860966365e-07,0.22632260547070782,6.001913436075901e-11,0.1
50.0,1100.0,0.23,4.310732028446616e-06,2.708669035809038e-07,0.31022312919880046,1.1228581309308982e-10,0.09
50.0,1150.0,0.23,5.468985135155557e-06,3.507929903572989e-07,0.4499662851833369,1.923146113731736e-10,0.07
50.0,1200.0,0.22,7.098832323804871e-06,4.6352425139596e-07,0.6347452869679956,2.9982537587208966e-10,0.05
50.0,1250.0,0.22,9.049294721103216e-06,5.988244397567874e-07,0.8053678786002391,4.2375555138460224e-10,0.03
50.0,1300.0,0.22,1.0940698896741399e-05,7.3079012499171e-07,0.9085804517288166,5.413279352760756e-10,0.01
50.0,1350.0,0.22,1.2254039818960823e-05,8.238575224615746e-07,0.9502686572287214,6.236658968322758e-10,0.01
50.0,1400.0,0.23,1.2537421810687435e-05,8.468479006816912e-07,0.9567833856230012,6.469660627965972e-10,0.01
50.0,1450.0,0.23,1.1623647569298481e-05,7.878869599140928e-07,0.9328136532403936,6.035532949900561e-10,0.01
50.0,1500.0,0.23,9.720858242997105e-06,6.607561196539465e-07,0.8487126001456827,5.05882529922101e-10,0.02
50.0,1550.0,0.23,7.314073128075411e-06,4.983344505055514e-07,0.6567037981274712,3.806932611829795e-10,0.05
50.0,1600.0,0.24,4.943550854916921e-06,3.3752908765731827e-07,0.38641134040383973,2.5707328498090425e-10,0.08
50.0,1650.0,0.24,2.9987569263255734e-06,2.051442555326209e-07,0.16449964583514176,1.5570999573396333e-10,0.11
50.0,1700.0,0.24,1.6316176427838716e-06,1.1182835123417988e-07,0.05181544383362502,8.457070006264857e-11,0.13
100.0,0.0,0.24,6.389719479464234e-07,3.6306809282288544e-08,0.008126764001792464,1.5599368494468162e-11,0.13
100.0,50.0,0.24,8.610824513747646e-07,4.863118922662742e-08,0.014709582730995208,2.1096866506101737e-11,0.13
100.0,100.0,0.24,1.0732519603631778e-06,6.028085120824027e-08,0.022758244120617777,2.645065668281481e-11,0.13
100.0,150.0,0.24,1.247859547901703e-06,6.976288930039867e-08,0.030641909896201636,3.10247908475696e-11,0.13
100.0,200.0,0.24,1.3685471624657638e-06,7.62349529682236e-08,0.03674018892115505,3.43993509702646e-11,0.13
